评估值/阈值,0.33,0.5,0.6,0.8
生成标签数,324 ,293 ,253 ,191 
正确标签数,288 ,260 ,228 ,170 
Precision值,0.8889 ,0.8874 ,0.9012 ,0.8901 
Recall值,1.0000 ,0.9028 ,0.7917 ,0.5903 
F1值,0.9412 ,0.8950 ,0.8429 ,0.7098 
,,,,
,,,,
hierarchy 方案,,,,
生成标签数,118,,,
正确标签数,79,,,
